v1,v2,v3,label
-0.864,0.276,0.388,1
-0.868,0.28,0.392,1
-0.856,0.3,0.4,1
-0.856,0.304,0.392,1
-0.856,0.288,0.4,1
-0.852,0.292,0.408,1
-0.848,0.308,0.4,1
-0.836,0.312,0.396,1
-0.84,0.304,0.408,1
-0.872,0.228,0.432,1
-0.86,0.3,0.404,1
-0.84,0.312,0.412,1
-0.868,0.244,0.408,1
-0.848,0.3,0.416,1
-0.864,0.244,0.42,1
-0.852,0.304,0.412,1
-0.848,0.288,0.4,1
-0.848,0.308,0.396,1
-0.836,0.312,0.4,1
-0.868,0.304,0.404,1
-0.884,0.304,0.42,1
-0.892,0.3,0.412,1
-0.88,0.3,0.416,1
-0.872,0.292,0.412,1
-0.868,0.292,0.412,1
-0.888,0.264,0.364,1
-0.88,0.316,0.384,1
-0.884,0.26,0.404,1
-0.84,0.268,0.38,1
-0.848,0.28,0.372,1
-0.84,0.316,0.38,1
-0.864,0.304,0.38,1
-0.848,0.304,0.384,1
-0.848,0.304,0.38,1
-0.856,0.32,0.384,1
-0.864,0.3,0.396,1
-0.856,0.308,0.376,1
-0.86,0.3,0.388,1
-0.864,0.3,0.384,1
-0.868,0.308,0.396,1
-0.876,0.28,0.408,1
-0.884,0.256,0.42,1
-0.884,0.248,0.436,1
-0.88,0.236,0.432,1
-0.888,0.256,0.416,1
-0.872,0.26,0.412,1
-0.864,0.26,0.4,1
-0.876,0.28,0.384,1
-0.868,0.296,0.384,1
-0.868,0.304,0.376,1
-0.868,0.312,0.376,1
-0.86,0.296,0.384,1
-0.86,0.292,0.388,1
-0.86,0.288,0.388,1
-0.86,0.288,0.38,1
-0.868,0.296,0.376,1
-0.872,0.304,0.38,1
-0.868,0.292,0.376,1
-0.868,0.296,0.388,1
-0.872,0.3,0.384,1
-0.868,0.272,0.4,1
-0.864,0.26,0.404,1
-0.868,0.256,0.42,1
-0.856,0.268,0.404,1
-0.848,0.276,0.412,1
-0.836,0.276,0.396,1
-0.848,0.292,0.404,1
-0.84,0.308,0.408,1
-0.864,0.312,0.424,1
-0.86,0.308,0.44,1
-0.848,0.288,0.444,1
-0.868,0.3,0.424,1
-0.864,0.284,0.46,1
-0.872,0.296,0.46,1
-0.856,0.304,0.476,1
-0.832,0.288,0.468,1
-0.848,0.296,0.484,1
-0.864,0.3,0.488,1
-0.868,0.284,0.5,1
-0.912,0.3,0.496,1
-0.904,0.328,0.5,1
-0.876,0.28,0.5,1
-0.852,0.296,0.5,1
-0.84,0.288,0.52,1
-0.86,0.264,0.548,1
-0.88,0.256,0.556,1
-0.904,0.236,0.584,1
-0.848,0.32,0.584,1
-0.844,0.388,0.596,1
-0.856,0.304,0.656,1
-0.84,0.236,0.688,1
-0.836,0.252,0.688,1
-0.832,0.336,0.684,1
-0.812,0.348,0.72,1
-0.816,0.256,0.764,1
-0.824,0.228,0.776,1
-0.804,0.332,0.764,1
-0.784,0.356,0.784,0
-0.768,0.26,0.812,2
-0.748,0.228,0.832,2
-0.74,0.272,0.844,2
-0.7,0.356,0.808,2
-0.684,0.316,0.852,2
-0.66,0.26,0.86,2
-0.632,0.276,0.856,2
-0.608,0.292,0.876,2
-0.596,0.268,0.916,2
-0.56,0.248,0.928,2
-0.512,0.256,0.908,2
-0.504,0.268,0.908,2
-0.48,0.256,0.912,2
-0.44,0.26,0.912,2
-0.4,0.296,0.916,2
-0.356,0.284,0.92,2
-0.32,0.252,0.908,2
-0.248,0.248,0.904,2
-0.232,0.228,0.912,2
-0.16,0.248,0.888,2
-0.136,0.236,0.9,2
-0.108,0.204,0.892,2
-0.056,0.196,0.876,2
-0.02,0.212,0.88,2
0.004,0.216,0.872,2
0.056,0.204,0.864,2
0.112,0.164,0.844,2
0.128,0.156,0.848,2
0.152,0.192,0.84,2
0.2,0.18,0.824,2
0.244,0.152,0.84,2
0.26,0.148,0.848,2
0.264,0.12,0.872,2
0.284,0.088,0.848,2
0.324,0.092,0.832,2
0.336,0.112,0.832,2
0.356,0.128,0.828,2
0.384,0.096,0.828,2
0.432,0.084,0.812,2
0.464,0.108,0.8,2
0.464,0.132,0.816,2
0.496,0.136,0.792,2
0.496,0.116,0.812,2
0.512,0.112,0.804,2
0.548,0.132,0.804,2
0.556,0.12,0.82,2
0.532,0.1,0.816,2
0.58,0.092,0.796,2
0.588,0.116,0.788,2
0.548,0.16,0.8,0
0.596,0.072,0.788,0
0.612,0.072,0.772,0
0.636,0.144,0.756,0
0.652,0.136,0.732,0
0.668,0.048,0.716,0
0.652,0.116,0.724,0
0.688,0.144,0.708,0
0.672,0.152,0.712,0
0.684,0.12,0.7,0
0.696,0.124,0.7,0
0.696,0.144,0.704,0
0.708,0.152,0.68,0
0.716,0.14,0.696,0
0.74,0.112,0.704,0
0.728,0.14,0.704,0
0.708,0.144,0.732,0
0.712,0.128,0.744,0
0.696,0.132,0.732,0
0.728,0.108,0.744,0
0.708,0.1,0.764,0
0.72,0.1,0.76,0
0.72,0.108,0.768,0
0.716,0.116,0.768,0
0.712,0.112,0.768,0
0.72,0.104,0.76,0
0.704,0.112,0.76,0
0.696,0.12,0.744,0
0.704,0.104,0.752,0
0.712,0.096,0.756,0
0.724,0.104,0.756,0
0.712,0.108,0.756,0
0.712,0.084,0.764,0
0.708,0.08,0.768,0
0.708,0.1,0.772,0
0.696,0.144,0.764,0
0.708,0.112,0.768,0
0.712,0.1,0.78,0
0.7,0.092,0.776,0
0.704,0.12,0.772,0
0.704,0.124,0.764,0
0.708,0.112,0.768,0
0.712,0.108,0.768,0
0.712,0.12,0.756,0
0.712,0.108,0.764,0
0.692,0.088,0.776,0
0.688,0.108,0.788,0
0.692,0.124,0.768,0
0.704,0.124,0.768,0
0.7,0.092,0.768,0
0.704,0.112,0.76,0
0.708,0.124,0.768,0
0.7,0.112,0.772,0
0.708,0.108,0.76,0
0.712,0.104,0.764,0
0.708,0.108,0.78,0
0.696,0.112,0.784,0
0.712,0.132,0.768,0
0.692,0.132,0.772,0
0.692,0.12,0.772,0
0.696,0.104,0.772,0
0.7,0.116,0.772,0
0.708,0.136,0.772,0
0.696,0.14,0.768,0
0.704,0.124,0.776,0
0.696,0.132,0.776,0
0.696,0.136,0.776,0
0.696,0.132,0.78,0
0.7,0.132,0.772,0
0.7,0.128,0.78,0
0.692,0.124,0.776,0
0.696,0.12,0.784,0
0.696,0.116,0.788,0
0.688,0.132,0.776,0
0.688,0.136,0.784,0
0.68,0.124,0.788,0
0.688,0.112,0.784,0
0.684,0.124,0.78,0
0.692,0.148,0.772,0
0.684,0.124,0.772,0
0.688,0.108,0.78,0
0.696,0.128,0.768,0
0.688,0.132,0.776,0
0.672,0.124,0.784,0
0.672,0.124,0.784,0
0.676,0.132,0.78,0
0.688,0.128,0.772,0
0.68,0.124,0.784,0
0.68,0.12,0.772,0
0.676,0.128,0.764,0
0.676,0.116,0.76,0
0.66,0.112,0.76,0
0.648,0.108,0.74,0
0.66,0.128,0.724,0
0.652,0.12,0.736,0
0.64,0.104,0.728,0
0.644,0.108,0.724,0
0.636,0.12,0.72,0
0.612,0.108,0.704,0
0.6,0.1,0.716,0
0.604,0.112,0.74,0
0.588,0.116,0.756,0
0.588,0.108,0.748,0
0.592,0.112,0.768,0
0.556,0.128,0.78,0
0.528,0.096,0.796,0
0.556,0.14,0.788,0
0.552,0.172,0.792,2
0.528,0.144,0.824,2
0.52,0.148,0.808,2
0.516,0.148,0.824,2
0.472,0.172,0.828,2
0.488,0.184,0.824,2
0.472,0.212,0.824,2
0.408,0.168,0.828,2
0.336,0.12,0.828,2
0.408,0.228,0.828,2
0.376,0.28,0.832,2
0.324,0.208,0.836,2
0.336,0.156,0.848,2
0.376,0.216,0.856,2
0.3,0.22,0.888,2
0.256,0.192,0.888,2
0.268,0.18,0.892,2
0.412,0.332,0.876,2
0.244,0.268,0.956,2
0.168,0.212,0.96,2
0.144,0.176,0.932,2
0.2,0.264,0.936,2
0.184,0.304,0.976,2
0.132,0.336,1.032,2
0.068,0.2,0.98,2
0.088,0.244,0.972,2
0.112,0.304,0.98,2
0.008,0.312,1,2
-0.032,0.316,0.976,2
-0.012,0.36,0.98,2
-0.024,0.428,0.968,2
-0.088,0.372,0.952,2
-0.168,0.356,0.944,2
-0.16,0.336,0.956,2
-0.132,0.376,0.972,2
-0.156,0.392,0.976,2
-0.276,0.372,0.948,2
-0.332,0.364,0.892,2
-0.284,0.456,0.896,2
-0.312,0.476,0.904,2
-0.44,0.376,0.916,2
-0.476,0.364,0.868,2
-0.428,0.432,0.844,2
-0.436,0.468,0.872,2
-0.524,0.316,0.94,2
-0.568,0.28,0.892,2
-0.588,0.312,0.824,2
-0.576,0.412,0.812,2
-0.612,0.408,0.844,2
-0.668,0.344,0.852,2
-0.676,0.312,0.788,2
-0.68,0.36,0.756,0
-0.684,0.352,0.768,0
-0.74,0.344,0.792,0
-0.732,0.348,0.72,0
-0.728,0.356,0.684,0
-0.74,0.372,0.656,0
-0.776,0.392,0.66,0
-0.784,0.392,0.644,0
-0.776,0.388,0.608,0
-0.788,0.4,0.592,0
-0.804,0.38,0.608,1
-0.824,0.424,0.6,1
-0.804,0.424,0.576,1
-0.804,0.432,0.556,1
-0.828,0.4,0.548,1
-0.832,0.368,0.56,1
-0.84,0.388,0.56,1
-0.832,0.336,0.536,1
-0.824,0.336,0.524,1
-0.808,0.324,0.512,1
-0.792,0.308,0.508,1
-0.788,0.32,0.496,1
-0.796,0.304,0.488,1
-0.784,0.292,0.488,1
-0.796,0.268,0.508,1
-0.804,0.28,0.496,1
-0.812,0.28,0.492,1
-0.824,0.288,0.5,1
-0.82,0.288,0.484,1
-0.816,0.324,0.464,1
-0.816,0.34,0.456,1
-0.828,0.32,0.46,1
-0.804,0.288,0.464,1
-0.792,0.28,0.472,1
-0.784,0.32,0.448,1
-0.82,0.356,0.444,1
-0.8,0.32,0.452,1
-0.816,0.28,0.456,1
-0.82,0.28,0.456,1
-0.816,0.28,0.444,1
-0.816,0.312,0.432,1
-0.82,0.324,0.428,1
-0.816,0.332,0.432,1
-0.816,0.356,0.436,1
-0.828,0.336,0.44,1
-0.832,0.344,0.428,1
-0.84,0.308,0.44,1
-0.844,0.272,0.444,1
-0.832,0.272,0.444,1
-0.844,0.272,0.452,1
-0.84,0.264,0.448,1
-0.84,0.244,0.444,1
-0.856,0.244,0.448,1
-0.848,0.228,0.46,1
-0.856,0.244,0.444,1
-0.848,0.244,0.436,1
-0.86,0.252,0.432,1
-0.86,0.26,0.444,1
-0.852,0.248,0.428,1
-0.856,0.216,0.428,1
-0.856,0.22,0.424,1
-0.868,0.236,0.412,1
-0.884,0.24,0.396,1
-0.896,0.22,0.412,1
-0.904,0.232,0.404,1
-0.888,0.256,0.388,1
-0.896,0.252,0.372,1
-0.884,0.22,0.38,1
-0.892,0.188,0.368,1
-0.888,0.188,0.344,1
-0.908,0.212,0.352,1
-0.912,0.24,0.364,1
-0.876,0.26,0.34,1
-0.892,0.228,0.332,1
-0.916,0.228,0.34,1
-0.924,0.224,0.344,1
-0.928,0.228,0.34,1
-0.948,0.248,0.332,1
-0.956,0.24,0.356,1
-0.94,0.216,0.344,1
-0.944,0.192,0.328,1
-0.924,0.176,0.324,1
-0.92,0.196,0.324,1
-0.928,0.216,0.336,1
-0.92,0.196,0.336,1
-0.936,0.208,0.336,1
-0.936,0.18,0.336,1
-0.94,0.192,0.34,1
-0.944,0.192,0.348,1
-0.932,0.204,0.356,1
-0.92,0.192,0.336,1
-0.928,0.184,0.344,1
-0.928,0.192,0.34,1
-0.92,0.204,0.336,1
-0.912,0.212,0.332,1
-0.924,0.236,0.336,1
-0.928,0.236,0.332,1
-0.928,0.224,0.328,1
-0.924,0.224,0.308,1
-0.924,0.236,0.308,1
-0.908,0.256,0.316,1
-0.9,0.256,0.316,1
-0.92,0.212,0.324,1
-0.92,0.196,0.312,1
-0.924,0.208,0.304,1
-0.916,0.22,0.324,1
-0.904,0.196,0.336,1
-0.888,0.172,0.32,1
-0.916,0.22,0.332,1
-0.904,0.244,0.332,1
-0.888,0.24,0.32,1
-0.88,0.184,0.308,1
-0.852,0.2,0.32,1
-0.868,0.26,0.328,1
-0.872,0.276,0.308,1
-0.86,0.264,0.304,1
-0.836,0.208,0.308,1
-0.872,0.22,0.3,1
-0.916,0.224,0.344,1
-0.896,0.228,0.324,1
-0.88,0.232,0.304,1
-0.88,0.256,0.292,1
-0.88,0.256,0.32,1
-0.824,0.236,0.312,1
-0.812,0.228,0.3,1
-0.84,0.248,0.304,1
-0.896,0.296,0.328,1
-0.956,0.268,0.372,1
-0.94,0.216,0.408,1
-0.932,0.188,0.392,1
-0.952,0.192,0.372,1
-0.984,0.228,0.388,1
-0.976,0.224,0.436,1
-0.94,0.184,0.424,1
-0.912,0.148,0.412,1
-0.888,0.2,0.392,1
-0.872,0.256,0.392,1
-0.864,0.264,0.388,1
-0.88,0.216,0.368,1
-0.888,0.18,0.372,1
-0.892,0.208,0.376,1
-0.912,0.236,0.384,1
-0.884,0.232,0.364,1
-0.884,0.22,0.356,1
-0.88,0.24,0.344,1
-0.888,0.268,0.348,1
-0.904,0.26,0.372,1
-0.888,0.232,0.364,1
-0.872,0.212,0.348,1
-0.872,0.212,0.368,1
-0.88,0.26,0.348,1
-0.892,0.26,0.364,1
-0.892,0.26,0.368,1
-0.884,0.252,0.356,1
-0.876,0.26,0.352,1
-0.896,0.32,0.368,1
-0.888,0.312,0.38,1
-0.872,0.26,0.364,1
-0.868,0.224,0.368,1
-0.812,0.172,0.372,1
-0.888,0.184,0.392,1
-0.904,0.172,0.404,1
-0.916,0.232,0.392,1
-0.912,0.252,0.396,1
-0.904,0.264,0.384,1
-0.908,0.232,0.388,1
-0.92,0.148,0.384,1
-0.872,0.132,0.356,1
-0.908,0.22,0.356,1
-0.856,0.304,0.336,1
-0.856,0.348,0.332,1
-0.848,0.34,0.312,1
-0.808,0.304,0.316,1
-0.852,0.26,0.336,1
-0.864,0.288,0.34,1
-0.864,0.288,0.34,1
-0.872,0.312,0.336,1
-0.868,0.292,0.356,1
-0.876,0.28,0.344,1
-0.86,0.284,0.348,1
-0.86,0.32,0.34,1
-0.868,0.328,0.344,1
-0.884,0.292,0.364,1
-0.876,0.276,0.368,1
-0.88,0.304,0.364,1
-0.872,0.316,0.36,1
-0.872,0.32,0.36,1
-0.88,0.312,0.364,1
-0.88,0.296,0.376,1
-0.888,0.3,0.372,1
-0.876,0.312,0.36,1
-0.868,0.344,0.376,1
-0.876,0.34,0.372,1
-0.864,0.312,0.356,1
-0.872,0.3,0.368,1
-0.864,0.292,0.372,1
-0.872,0.32,0.364,1
-0.868,0.304,0.356,1
-0.884,0.32,0.364,1
-0.88,0.308,0.356,1
-0.868,0.284,0.356,1
-0.884,0.272,0.368,1
-0.912,0.292,0.376,1
-0.912,0.296,0.376,1
-0.904,0.296,0.356,1
-0.908,0.264,0.364,1
-0.9,0.252,0.364,1
-0.888,0.256,0.368,1
-0.872,0.264,0.356,1
-0.872,0.284,0.356,1
-0.88,0.272,0.356,1
-0.884,0.248,0.36,1
-0.892,0.248,0.372,1
-0.892,0.256,0.364,1
-0.88,0.256,0.36,1
-0.872,0.256,0.364,1
-0.868,0.26,0.356,1
-0.864,0.268,0.356,1
-0.876,0.268,0.356,1
-0.884,0.256,0.352,1
-0.888,0.256,0.372,1
-0.88,0.256,0.356,1
-0.876,0.268,0.364,1
-0.868,0.26,0.364,1
-0.872,0.272,0.372,1
-0.872,0.268,0.364,1
-0.86,0.272,0.36,1
-0.872,0.284,0.36,1
-0.888,0.272,0.376,1
-0.888,0.264,0.372,1
-0.884,0.268,0.376,1
-0.88,0.276,0.372,1
-0.876,0.296,0.36,1
-0.88,0.288,0.368,1
-0.876,0.264,0.376,1
-0.884,0.272,0.376,1
-0.888,0.28,0.368,1
-0.872,0.288,0.376,1
-0.872,0.272,0.372,1
-0.868,0.276,0.372,1
-0.88,0.272,0.372,1
-0.884,0.272,0.376,1
-0.888,0.28,0.372,1
-0.884,0.304,0.36,1
-0.88,0.308,0.372,1
-0.876,0.28,0.36,1
-0.884,0.268,0.372,1
-0.888,0.264,0.372,1
-0.884,0.288,0.364,1
-0.884,0.292,0.368,1
-0.88,0.28,0.376,1
-0.88,0.264,0.364,1
-0.88,0.264,0.376,1
-0.884,0.272,0.364,1
-0.888,0.272,0.372,1
-0.876,0.272,0.356,1
-0.884,0.276,0.364,1
-0.884,0.272,0.364,1
-0.884,0.276,0.368,1
-0.884,0.292,0.356,1
-0.88,0.28,0.36,1
-0.872,0.272,0.36,1
-0.872,0.276,0.356,1
-0.884,0.28,0.356,1
